date,wilb,thao,josh
7/2/15,3,1,0
7/3/15,189,200,81
7/4/15,4,2,3
7/6/15,302,173,173
7/7/15,90,103,73
7/8/15,177,147,92
7/9/15,142,118,89
7/10/15,104,84,86
7/12/15,71,14,58
7/13/15,113,98,98
7/14/15,158,144,116
7/15/15,214,146,109
7/16/15,178,161,60
7/17/15,205,139,211
7/18/15,120,25,56
7/19/15,56,20,63
7/20/15,149,147,99
7/21/15,21,27,13
7/22/15,163,119,112
7/23/15,161,66,172
7/24/15,289,207,261
7/25/15,164,100,141
7/26/15,335,167,218
7/27/15,288,219,81
7/28/15,62,75,47
7/29/15,116,126,103
7/30/15,256,100,255
7/31/15,106,60,106
8/1/15,174,101,85
8/2/15,193,3,176
8/3/15,74,49,67
8/4/15,48,71,51
8/5/15,37,53,74
8/6/15,76,108,103
8/7/15,165,189,93
8/8/15,55,66,37
8/9/15,202,22,216
8/10/15,178,41,137
8/11/15,106,34,74
8/12/15,9,8,16
8/13/15,134,44,180
8/14/15,22,13,15
8/15/15,142,7,95
8/17/15,56,92,57
8/18/15,39,7,67
8/19/15,120,39,109
8/20/15,178,49,127
8/21/15,192,57,199
8/22/15,94,9,46
8/23/15,118,43,69
8/24/15,175,33,185
8/25/15,211,5,166
8/26/15,178,12,108
8/27/15,72,0,55
8/28/15,60,3,40
8/29/15,45,0,36
8/30/15,10,0,7
8/31/15,32,18,19
9/1/15,55,30,47
9/2/15,79,36,102
9/3/15,94,49,91
9/4/15,159,69,189
9/5/15,41,33,24
9/7/15,13,17,15
9/8/15,58,33,55
9/9/15,171,18,135
9/10/15,106,89,137
9/11/15,21,2,29
9/12/15,137,24,128
9/13/15,115,16,102
9/14/15,160,28,150
9/15/15,216,5,278
9/16/15,86,19,86
9/17/15,124,0,147
9/18/15,101,23,128
9/19/15,21,0,19
9/20/15,89,6,108
9/21/15,147,42,146
9/22/15,179,59,257
9/23/15,101,25,99
9/24/15,290,159,348
9/25/15,239,63,275
9/26/15,399,67,415
9/27/15,144,25,118
9/28/15,210,53,242
9/29/15,158,42,161
9/30/15,120,4,157
10/1/15,211,42,274
10/2/15,389,106,451
10/3/15,76,43,16
10/4/15,151,66,38
10/5/15,236,61,159
10/6/15,312,51,330
10/7/15,134,50,128
10/8/15,179,95,161
10/9/15,255,145,107
10/10/15,206,11,114
10/11/15,163,28,118
10/12/15,344,32,382
10/13/15,172,8,242
10/14/15,281,32,277
10/15/15,248,20,233
10/16/15,303,63,375
10/17/15,72,51,104
10/18/15,30,1,42
10/19/15,63,33,131
10/20/15,146,10,132
10/21/15,284,42,312
10/22/15,332,57,288
10/23/15,155,16,135
10/24/15,190,132,29
10/25/15,115,1,113
10/26/15,314,2,375
10/27/15,250,6,296
10/28/15,247,19,242
10/29/15,242,7,204
10/30/15,179,35,158
10/31/15,14,0,15
11/1/15,116,0,192
11/2/15,176,0,151
11/3/15,397,8,332
11/4/15,347,10,335
11/5/15,312,10,380
11/6/15,791,31,763
11/7/15,29,3,22
11/8/15,141,35,127
11/9/15,590,17,438
11/10/15,362,31,280
11/11/15,168,48,194
11/12/15,172,8,160
11/13/15,301,11,295
11/14/15,93,0,98
11/15/15,128,0,83
11/16/15,587,90,480
11/17/15,732,45,667
11/18/15,647,0,574
11/19/15,638,40,420
11/20/15,440,65,362
11/21/15,97,14,82
11/22/15,368,222,239
11/23/15,694,77,703
11/24/15,401,118,325
11/25/15,500,55,453
11/26/15,144,81,131
11/27/15,125,19,201
11/28/15,70,3,60
11/29/15,159,13,117
11/30/15,326,58,307
12/1/15,336,59,272
12/2/15,431,0,392
12/3/15,513,18,532
12/4/15,901,23,648
12/5/15,121,47,86
12/6/15,77,1,55
12/7/15,966,122,749
12/8/15,916,280,640
12/9/15,688,126,662
12/10/15,589,123,439
12/11/15,220,46,313
12/12/15,54,0,35
12/13/15,267,16,261
12/14/15,697,126,605
12/15/15,455,109,403
12/16/15,428,54,419
12/17/15,353,27,376
12/18/15,710,71,697
12/19/15,133,29,137
12/20/15,68,44,17
12/21/15,470,84,428
12/22/15,60,56,92
12/23/15,167,51,196
12/24/15,95,0,94
12/25/15,177,54,111
12/26/15,185,14,190
12/27/15,42,27,84
12/28/15,136,23,125
12/29/15,80,24,99
12/30/15,168,31,201
12/31/15,31,5,27
1/1/16,36,1,26
1/2/16,363,13,375
1/3/16,146,6,187
1/4/16,840,241,769
1/5/16,594,90,499
1/6/16,798,43,803
1/7/16,786,490,776
1/8/16,740,90,790
1/9/16,100,7,92
1/10/16,86,7,79
1/11/16,668,90,600
1/12/16,614,13,631
1/13/16,649,102,574
1/14/16,374,21,344
1/15/16,190,7,240
1/16/16,171,0,148
1/17/16,243,20,245
1/18/16,71,30,69
1/19/16,386,2,475
1/20/16,223,33,274
1/21/16,304,30,341
1/22/16,324,28,360
1/23/16,95,25,76
1/24/16,228,9,306
1/25/16,196,2,225
1/26/16,687,8,614
1/27/16,259,44,216
1/28/16,645,101,626
1/29/16,479,60,569
1/30/16,181,139,49
1/31/16,86,8,69
2/1/16,584,20,560
2/2/16,406,128,314
2/3/16,353,84,247
2/4/16,637,160,405
2/5/16,318,72,229
2/6/16,194,114,36
2/7/16,121,84,27
2/8/16,576,50,548
2/9/16,335,48,259
2/10/16,371,15,351
2/11/16,545,21,451
2/12/16,103,23,45
2/13/16,91,79,12
2/14/16,100,17,67
2/15/16,220,115,108
2/16/16,622,145,572
2/17/16,573,7,479
2/18/16,427,55,427
2/19/16,740,79,567
2/20/16,169,138,37
2/21/16,229,107,129
2/22/16,682,147,443
2/23/16,566,134,703
2/24/16,845,294,596
2/25/16,396,35,411
2/26/16,1075,7,963
2/27/16,132,7,113
2/28/16,135,23,109
2/29/16,700,67,794
3/1/16,921,105,999
3/2/16,760,143,513
3/3/16,676,72,562
3/4/16,650,1,681
3/5/16,56,5,44
3/6/16,25,5,27
3/7/16,693,41,829
3/8/16,539,73,606
3/9/16,450,152,440
3/10/16,548,146,493
