date,total
7/2/15,4
7/3/15,470
7/4/15,9
7/6/15,648
7/7/15,266
7/8/15,416
7/9/15,349
7/10/15,274
7/12/15,143
7/13/15,309
7/14/15,418
7/15/15,469
7/16/15,399
7/17/15,555
7/18/15,201
7/19/15,139
7/20/15,395
7/21/15,61
7/22/15,394
7/23/15,399
7/24/15,757
7/25/15,405
7/26/15,720
7/27/15,588
7/28/15,184
7/29/15,345
7/30/15,611
7/31/15,272
8/1/15,360
8/2/15,372
8/3/15,190
8/4/15,170
8/5/15,164
8/6/15,287
8/7/15,447
8/8/15,158
8/9/15,440
8/10/15,356
8/11/15,214
8/12/15,33
8/13/15,358
8/14/15,50
8/15/15,244
8/17/15,205
8/18/15,113
8/19/15,268
8/20/15,354
8/21/15,448
8/22/15,149
8/23/15,230
8/24/15,393
8/25/15,382
8/26/15,298
8/27/15,127
8/28/15,103
8/29/15,81
8/30/15,17
8/31/15,69
9/1/15,132
9/2/15,217
9/3/15,234
9/4/15,417
9/5/15,98
9/7/15,45
9/8/15,146
9/9/15,324
9/10/15,332
9/11/15,52
9/12/15,289
9/13/15,233
9/14/15,338
9/15/15,499
9/16/15,191
9/17/15,271
9/18/15,252
9/19/15,40
9/20/15,203
9/21/15,335
9/22/15,495
9/23/15,225
9/24/15,797
9/25/15,577
9/26/15,881
9/27/15,287
9/28/15,505
9/29/15,361
9/30/15,281
10/1/15,527
10/2/15,946
10/3/15,135
10/4/15,255
10/5/15,456
10/6/15,693
10/7/15,312
10/8/15,435
10/9/15,507
10/10/15,331
10/11/15,309
10/12/15,758
10/13/15,422
10/14/15,590
10/15/15,501
10/16/15,741
10/17/15,227
10/18/15,73
10/19/15,227
10/20/15,288
10/21/15,638
10/22/15,677
10/23/15,306
10/24/15,351
10/25/15,229
10/26/15,691
10/27/15,552
10/28/15,508
10/29/15,453
10/30/15,372
10/31/15,29
11/1/15,308
11/2/15,327
11/3/15,737
11/4/15,692
11/5/15,702
11/6/15,1585
11/7/15,54
11/8/15,303
11/9/15,1045
11/10/15,673
11/11/15,410
11/12/15,340
11/13/15,607
11/14/15,191
11/15/15,211
11/16/15,1157
11/17/15,1444
11/18/15,1221
11/19/15,1098
11/20/15,867
11/21/15,193
11/22/15,829
11/23/15,1474
11/24/15,844
11/25/15,1008
11/26/15,356
11/27/15,345
11/28/15,133
11/29/15,289
11/30/15,691
12/1/15,667
12/2/15,823
12/3/15,1063
12/4/15,1572
12/5/15,254
12/6/15,133
12/7/15,1837
12/8/15,1836
12/9/15,1476
12/10/15,1151
12/11/15,579
12/12/15,89
12/13/15,544
12/14/15,1428
12/15/15,967
12/16/15,901
12/17/15,756
12/18/15,1478
12/19/15,299
12/20/15,129
12/21/15,982
12/22/15,208
12/23/15,414
12/24/15,189
12/25/15,342
12/26/15,389
12/27/15,153
12/28/15,284
12/29/15,203
12/30/15,400
12/31/15,63
1/1/16,63
1/2/16,751
1/3/16,339
1/4/16,1850
1/5/16,1183
1/6/16,1644
1/7/16,2052
1/8/16,1620
1/9/16,199
1/10/16,172
1/11/16,1358
1/12/16,1258
1/13/16,1325
1/14/16,739
1/15/16,437
1/16/16,319
1/17/16,508
1/18/16,170
1/19/16,863
1/20/16,530
1/21/16,675
1/22/16,712
1/23/16,196
1/24/16,543
1/25/16,423
1/26/16,1309
1/27/16,519
1/28/16,1372
1/29/16,1108
1/30/16,369
1/31/16,163
2/1/16,1164
2/2/16,848
2/3/16,684
2/4/16,1202
2/5/16,619
2/6/16,344
2/7/16,232
2/8/16,1174
2/9/16,642
2/10/16,737
2/11/16,1017
2/12/16,171
2/13/16,182
2/14/16,184
2/15/16,443
2/16/16,1339
2/17/16,1059
2/18/16,909
2/19/16,1386
2/20/16,344
2/21/16,465
2/22/16,1272
2/23/16,1403
2/24/16,1735
2/25/16,842
2/26/16,2045
2/27/16,252
2/28/16,267
2/29/16,1561
3/1/16,2025
3/2/16,1416
3/3/16,1310
3/4/16,1332
3/5/16,105
3/6/16,57
3/7/16,1563
3/8/16,1218
3/9/16,1042
3/10/16,1187
