Hour,Day,Total,Average,Median,DayHour
00,Monday,2160,32.2388059701,16.0,Monday 12 AM
01,Monday,2083,37.1964285714,10.5,Monday 01 AM
02,Monday,326,9.58823529412,3.5,Monday 02 AM
03,Monday,29,2.9,3.0,Monday 03 AM
04,Monday,41,8.2,2.0,Monday 04 AM
05,Monday,6,1.2,1.0,Monday 05 AM
06,Monday,22,3.14285714286,2.0,Monday 06 AM
07,Monday,53,4.07692307692,2.0,Monday 07 AM
08,Monday,576,17.4545454545,3.0,Monday 08 AM
09,Monday,2320,22.5242718447,14.0,Monday 09 AM
10,Monday,11014,101.981481481,75.0,Monday 10 AM
11,Monday,10596,97.2110091743,74.0,Monday 11 AM
12,Monday,9995,93.4112149533,60.0,Monday 12 PM
13,Monday,8117,77.3047619048,37.0,Monday 01 PM
14,Monday,8313,72.9210526316,52.5,Monday 02 PM
15,Monday,7301,68.8773584906,51.5,Monday 03 PM
16,Monday,8228,78.3619047619,49.0,Monday 04 PM
17,Monday,3692,35.1619047619,28.0,Monday 05 PM
18,Monday,4136,38.6542056075,23.0,Monday 06 PM
19,Monday,2758,27.8585858586,15.0,Monday 07 PM
20,Monday,2533,30.1547619048,16.5,Monday 08 PM
21,Monday,2404,31.6315789474,17.5,Monday 09 PM
22,Monday,1376,18.1052631579,10.0,Monday 10 PM
23,Monday,1743,24.9,13.0,Monday 11 PM
00,Tuesday,2477,36.9701492537,14.0,Tuesday 12 AM
01,Tuesday,1328,25.5384615385,7.0,Tuesday 01 AM
02,Tuesday,278,11.12,3.0,Tuesday 02 AM
03,Tuesday,74,4.11111111111,2.5,Tuesday 03 AM
04,Tuesday,29,2.23076923077,2.0,Tuesday 04 AM
05,Tuesday,19,2.375,2.0,Tuesday 05 AM
06,Tuesday,16,2.28571428571,2.0,Tuesday 06 AM
07,Tuesday,62,3.64705882353,2.0,Tuesday 07 AM
08,Tuesday,467,11.9743589744,2.0,Tuesday 08 AM
09,Tuesday,2511,22.4196428571,13.5,Tuesday 09 AM
10,Tuesday,10003,84.0588235294,56.0,Tuesday 10 AM
11,Tuesday,12600,105.0,69.0,Tuesday 11 AM
12,Tuesday,7312,63.5826086957,36.0,Tuesday 12 PM
13,Tuesday,6073,53.2719298246,34.0,Tuesday 01 PM
14,Tuesday,8066,72.0178571429,44.0,Tuesday 02 PM
15,Tuesday,7182,65.2909090909,43.5,Tuesday 03 PM
16,Tuesday,8074,74.0733944954,48.0,Tuesday 04 PM
17,Tuesday,4086,39.6699029126,23.0,Tuesday 05 PM
18,Tuesday,4120,41.2,24.0,Tuesday 06 PM
19,Tuesday,3098,33.311827957,14.0,Tuesday 07 PM
20,Tuesday,1986,23.0930232558,13.5,Tuesday 08 PM
21,Tuesday,2540,30.2380952381,10.5,Tuesday 09 PM
22,Tuesday,2446,30.1975308642,12.0,Tuesday 10 PM
23,Tuesday,1991,26.5466666667,12.0,Tuesday 11 PM
00,Wednesday,1711,28.0491803279,9.0,Wednesday 12 AM
01,Wednesday,1227,29.9268292683,5.0,Wednesday 01 AM
02,Wednesday,107,5.09523809524,2.0,Wednesday 02 AM
03,Wednesday,38,3.8,2.5,Wednesday 03 AM
04,Wednesday,6,1.5,1.0,Wednesday 04 AM
05,Wednesday,7,2.33333333333,3.0,Wednesday 05 AM
06,Wednesday,13,3.25,3.5,Wednesday 06 AM
07,Wednesday,31,2.21428571429,2.0,Wednesday 07 AM
08,Wednesday,589,14.725,2.0,Wednesday 08 AM
09,Wednesday,2112,19.738317757,8.0,Wednesday 09 AM
10,Wednesday,7499,63.5508474576,38.5,Wednesday 10 AM
11,Wednesday,11087,90.1382113821,65.0,Wednesday 11 AM
12,Wednesday,7333,62.6752136752,38.0,Wednesday 12 PM
13,Wednesday,6072,56.7476635514,38.0,Wednesday 01 PM
14,Wednesday,7429,65.7433628319,42.0,Wednesday 02 PM
15,Wednesday,6820,60.8928571429,33.5,Wednesday 03 PM
16,Wednesday,7310,65.8558558559,47.0,Wednesday 04 PM
17,Wednesday,3928,36.3703703704,23.0,Wednesday 05 PM
18,Wednesday,3938,39.38,26.0,Wednesday 06 PM
19,Wednesday,2622,28.1935483871,13.0,Wednesday 07 PM
20,Wednesday,3003,34.9186046512,12.0,Wednesday 08 PM
21,Wednesday,2138,24.5747126437,13.0,Wednesday 09 PM
22,Wednesday,2129,25.3452380952,14.5,Wednesday 10 PM
23,Wednesday,1979,26.3866666667,13.0,Wednesday 11 PM
00,Thursday,994,17.4385964912,9.0,Thursday 12 AM
01,Thursday,908,19.7391304348,5.0,Thursday 01 AM
02,Thursday,161,8.94444444444,3.0,Thursday 02 AM
03,Thursday,171,14.25,2.0,Thursday 03 AM
04,Thursday,15,1.66666666667,1.0,Thursday 04 AM
05,Thursday,12,2.4,2.0,Thursday 05 AM
06,Thursday,24,4.8,1.0,Thursday 06 AM
07,Thursday,232,14.5,3.0,Thursday 07 AM
08,Thursday,675,25.0,4.0,Thursday 08 AM
09,Thursday,2453,23.3619047619,12.0,Thursday 09 AM
10,Thursday,9146,83.1454545455,65.0,Thursday 10 AM
11,Thursday,10180,86.2711864407,58.5,Thursday 11 AM
12,Thursday,8199,74.5363636364,56.0,Thursday 12 PM
13,Thursday,6830,61.5315315315,42.0,Thursday 01 PM
14,Thursday,7646,67.6637168142,42.0,Thursday 02 PM
15,Thursday,6931,63.0090909091,38.5,Thursday 03 PM
16,Thursday,8557,77.7909090909,48.0,Thursday 04 PM
17,Thursday,4470,39.9107142857,23.0,Thursday 05 PM
18,Thursday,3500,33.9805825243,20.0,Thursday 06 PM
19,Thursday,2828,31.0769230769,14.0,Thursday 07 PM
20,Thursday,1663,21.0506329114,12.0,Thursday 08 PM
21,Thursday,1649,20.6125,13.0,Thursday 09 PM
22,Thursday,2475,30.9375,14.0,Thursday 10 PM
23,Thursday,1943,26.2567567568,13.0,Thursday 11 PM
00,Friday,845,14.0833333333,9.0,Friday 12 AM
01,Friday,778,18.5238095238,6.0,Friday 01 AM
02,Friday,282,13.4285714286,2.0,Friday 02 AM
03,Friday,89,8.9,4.0,Friday 03 AM
04,Friday,28,4.0,2.0,Friday 04 AM
05,Friday,20,5.0,1.5,Friday 05 AM
06,Friday,25,2.77777777778,2.0,Friday 06 AM
07,Friday,37,2.64285714286,2.0,Friday 07 AM
08,Friday,620,17.2222222222,3.0,Friday 08 AM
09,Friday,2025,19.4711538462,10.0,Friday 09 AM
10,Friday,7394,67.2181818182,45.0,Friday 10 AM
11,Friday,11289,99.0263157895,62.0,Friday 11 AM
12,Friday,5972,56.8761904762,37.0,Friday 12 PM
13,Friday,6552,59.027027027,32.0,Friday 01 PM
14,Friday,7183,64.7117117117,42.0,Friday 02 PM
15,Friday,7176,68.3428571429,36.0,Friday 03 PM
16,Friday,7876,74.3018867925,38.5,Friday 04 PM
17,Friday,3016,30.16,16.0,Friday 05 PM
18,Friday,2706,30.75,18.0,Friday 06 PM
19,Friday,1894,23.0975609756,14.5,Friday 07 PM
20,Friday,1250,16.2337662338,8.0,Friday 08 PM
21,Friday,1720,23.5616438356,10.0,Friday 09 PM
22,Friday,1613,22.4027777778,12.5,Friday 10 PM
23,Friday,2004,27.4520547945,11.0,Friday 11 PM
00,Saturday,1272,19.2727272727,8.5,Saturday 12 AM
01,Saturday,1202,21.0877192982,6.0,Saturday 01 AM
02,Saturday,433,11.1025641026,5.0,Saturday 02 AM
03,Saturday,407,14.5357142857,4.0,Saturday 03 AM
04,Saturday,60,4.61538461538,3.0,Saturday 04 AM
05,Saturday,23,2.3,2.0,Saturday 05 AM
06,Saturday,14,2.33333333333,2.0,Saturday 06 AM
07,Saturday,7,1.75,1.5,Saturday 07 AM
08,Saturday,13,1.85714285714,1.0,Saturday 08 AM
09,Saturday,121,6.72222222222,2.0,Saturday 09 AM
10,Saturday,318,9.08571428571,3.0,Saturday 10 AM
11,Saturday,787,15.1346153846,6.0,Saturday 11 AM
12,Saturday,1520,23.0303030303,7.0,Saturday 12 PM
13,Saturday,2341,28.9012345679,13.0,Saturday 01 PM
14,Saturday,1902,26.7887323944,13.0,Saturday 02 PM
15,Saturday,1558,23.2537313433,11.0,Saturday 03 PM
16,Saturday,1255,19.3076923077,8.0,Saturday 04 PM
17,Saturday,1047,17.45,7.0,Saturday 05 PM
18,Saturday,730,13.5185185185,7.0,Saturday 06 PM
19,Saturday,1307,22.5344827586,10.0,Saturday 07 PM
20,Saturday,1712,26.75,13.0,Saturday 08 PM
21,Saturday,1110,18.1967213115,12.0,Saturday 09 PM
22,Saturday,1348,19.8235294118,10.0,Saturday 10 PM
23,Saturday,1307,21.4262295082,11.0,Saturday 11 PM
00,Sunday,1018,16.1587301587,7.0,Sunday 12 AM
01,Sunday,1008,21.4468085106,6.0,Sunday 01 AM
02,Sunday,393,11.2285714286,7.0,Sunday 02 AM
03,Sunday,242,8.96296296296,5.0,Sunday 03 AM
04,Sunday,62,5.63636363636,5.0,Sunday 04 AM
05,Sunday,16,2.66666666667,2.5,Sunday 05 AM
06,Sunday,18,3.0,2.5,Sunday 06 AM
07,Sunday,5,1.66666666667,1.0,Sunday 07 AM
08,Sunday,31,3.44444444444,3.0,Sunday 08 AM
09,Sunday,110,6.875,2.0,Sunday 09 AM
10,Sunday,197,8.95454545455,2.0,Sunday 10 AM
11,Sunday,744,14.3076923077,3.5,Sunday 11 AM
12,Sunday,1617,23.4347826087,9.0,Sunday 12 PM
13,Sunday,2456,31.4871794872,13.0,Sunday 01 PM
14,Sunday,1535,20.4666666667,11.0,Sunday 02 PM
15,Sunday,2418,31.8157894737,11.5,Sunday 03 PM
16,Sunday,1514,20.4594594595,9.0,Sunday 04 PM
17,Sunday,1253,18.1594202899,7.0,Sunday 05 PM
18,Sunday,680,13.8775510204,5.0,Sunday 06 PM
19,Sunday,1027,17.406779661,8.0,Sunday 07 PM
20,Sunday,1397,23.6779661017,11.0,Sunday 08 PM
21,Sunday,2076,25.95,16.5,Sunday 09 PM
22,Sunday,1818,23.9210526316,12.5,Sunday 10 PM
23,Sunday,2516,39.3125,15.5,Sunday 11 PM
